team_id,team_name,country_code,matches_played,FotMob rating,FotMob rating rank,Goals per match,Goals per match rank,Goals conceded per match,Goals conceded per match rank,Average possession,Average possession rank,Clean sheets,Clean sheets rank,Attendance,Attendance rank,Expected goals,Expected goals rank,xG difference,xG difference rank,Shots on target per match,Shots on target per match rank,Big chances,Big chances rank,Big chances missed,Big chances missed rank,Accurate passes per match,Accurate passes per match rank,Accurate long balls per match,Accurate long balls per match rank,Accurate crosses per match,Accurate crosses per match rank,Penalties awarded,Penalties awarded rank,Touches in opposition box,Touches in opposition box rank,Corners,Corners rank,Set piece goals,Set piece goals rank,xG conceded,xG conceded rank,Interceptions per match,Interceptions per match rank,Tackles per match,Tackles per match rank,Clearances per match,Clearances per match rank,Possession won final 3rd per match,Possession won final 3rd per match rank,Set piece goals conceded,Set piece goals conceded rank,Penalties conceded,Penalties conceded rank,Saves per match,Saves per match rank,Fouls per match,Fouls per match rank,Yellow cards,Yellow cards rank,Red cards,Red cards rank,wins,draws,losses,points,table_position,group,goal_difference
9823,Bayern München,GER,34,7.35,1,3.6,1,1.1,2,67.4,1,12.0,3,75000.0,2,100.7,1,58.8,1,8.5,1,166.0,1,92.0,1,632.3,1,27.4,1,3.4,17,12.0,1,1395.0,1,216.0,1,22.0,1,42.0,2,8.4,13,12.8,18,17.0,18,5.5,1,13.0,13,3.0,15,2.0,18,8.8,16,56.0,13,2.0,14.0,28,5,1,89,1,,86
9789,Borussia Dortmund,GER,34,7.12,2,2.1,3,1.0,1,53.2,7,15.0,1,81365.0,1,63.8,4,24.1,2,4.8,6,106.0,6,55.0,9,415.8,6,22.8,13,5.1,5,9.0,3,934.0,6,181.0,5,19.0,2,39.7,1,8.0,15,14.4,13,23.9,16,4.7,3,7.0,2,5.0,12,2.6,16,11.7,4,63.0,9,2.0,12.0,22,7,5,73,2,,36
178475,RB Leipzig,GER,34,7.06,4,1.9,5,1.4,3,53.9,6,11.0,4,44164.0,8,67.4,2,16.2,4,6.0,3,124.0,3,85.0,2,426.1,4,21.1,16,4.6,8,3.0,17,1139.0,2,180.0,6,13.0,8,51.2,8,8.6,9,15.1,10,26.7,13,3.9,6,8.0,3,3.0,15,2.5,17,9.3,15,52.0,16,,,20,5,9,65,3,,19
10269,VfB Stuttgart,GER,34,7.08,3,2.1,2,1.4,5,57.8,3,11.0,4,59441.0,3,60.4,5,9.4,5,6.1,2,109.0,4,66.0,5,434.9,3,21.8,14,5.2,3,7.0,5,963.0,3,193.0,3,8.0,16,51.0,7,8.2,14,14.3,15,25.6,15,4.3,4,5.0,1,10.0,3,3.2,9,9.6,12,63.0,9,2.0,12.0,18,8,8,62,4,,22
8226,Hoffenheim,GER,34,6.96,6,1.9,6,1.5,6,55.2,4,7.0,7,26697.0,15,55.7,6,4.9,6,5.2,4,96.0,7,54.0,10,381.6,8,24.2,6,5.8,2,6.0,7,951.0,4,197.0,2,13.0,7,50.8,5,8.0,15,15.5,7,30.6,6,5.3,2,16.0,15,7.0,6,2.9,13,13.9,1,71.0,2,3.0,5.0,18,7,9,61,5,,13
8178,Bayer Leverkusen,GER,34,7.05,5,2.0,4,1.4,3,59.2,2,8.0,6,30016.0,12,65.7,3,19.6,3,5.2,5,125.0,2,77.0,3,533.9,2,23.6,9,4.4,10,8.0,4,943.0,5,190.0,4,16.0,5,46.2,3,7.4,18,14.1,17,21.4,17,3.9,7,13.0,12,7.0,4,3.5,4,8.6,17,66.0,7,2.0,11.0,17,8,9,59,6,,21
8358,Freiburg,GER,34,6.71,14,1.5,8,1.7,10,48.1,9,6.0,10,34118.0,10,49.1,9,0.3,7,4.2,11,75.0,13,44.0,14,330.5,12,23.1,11,4.9,7,6.0,9,758.0,13,140.0,16,17.0,3,48.8,4,8.6,10,14.4,14,27.8,12,2.7,16,19.0,17,1.0,18,3.0,11,9.4,14,49.0,17,3.0,10.0,13,8,13,47,7,,-6
9810,Eintracht Frankfurt,GER,34,6.77,11,1.8,7,1.9,16,55.0,5,7.0,7,59100.0,4,45.8,14,-5.0,10,4.6,8,86.0,9,50.0,11,418.7,5,23.6,10,3.4,16,6.0,7,820.0,9,159.0,10,10.0,12,50.8,6,9.3,4,15.6,6,25.7,14,3.3,11,12.0,9,3.0,14,2.9,12,10.4,9,54.0,14,4.0,4.0,11,11,12,44,8,,-4
8406,Augsburg,GER,34,6.79,9,1.3,10,1.8,14,44.0,15,5.0,13,29787.0,13,46.7,12,-17.1,16,4.6,9,76.0,12,46.0,12,309.1,15,23.0,12,4.4,11,6.0,10,773.0,12,157.0,11,10.0,10,63.8,17,8.5,11,15.9,5,28.9,9,3.9,8,12.0,8,7.0,5,3.1,10,11.0,6,80.0,1,1.0,16.0,12,7,15,43,9,,-16
9905,Mainz 05,GER,34,6.84,7,1.3,12,1.6,7,44.0,16,4.0,15,31856.0,11,54.8,7,-2.1,8,4.2,13,109.0,5,72.0,4,280.2,16,24.6,5,5.1,6,9.0,2,898.0,7,172.0,7,10.0,13,56.9,13,10.4,1,15.4,9,30.5,7,3.8,9,11.0,7,2.0,17,3.4,5,11.0,7,68.0,6,5.0,3.0,10,10,14,40,10,,-9
