team_id,team_name,country_code,matches_played,FotMob rating,FotMob rating rank,Goals per match,Goals per match rank,Goals conceded per match,Goals conceded per match rank,Average possession,Average possession rank,Clean sheets,Clean sheets rank,Attendance,Attendance rank,Expected goals,Expected goals rank,xG difference,xG difference rank,Shots on target per match,Shots on target per match rank,Big chances,Big chances rank,Big chances missed,Big chances missed rank,Accurate passes per match,Accurate passes per match rank,Accurate long balls per match,Accurate long balls per match rank,Accurate crosses per match,Accurate crosses per match rank,Penalties awarded,Penalties awarded rank,Touches in opposition box,Touches in opposition box rank,Corners,Corners rank,Set piece goals,Set piece goals rank,xG conceded,xG conceded rank,Interceptions per match,Interceptions per match rank,Tackles per match,Tackles per match rank,Clearances per match,Clearances per match rank,Possession won final 3rd per match,Possession won final 3rd per match rank,Set piece goals conceded,Set piece goals conceded rank,Penalties conceded,Penalties conceded rank,Saves per match,Saves per match rank,Fouls per match,Fouls per match rank,Yellow cards,Yellow cards rank,Red cards,Red cards rank,wins,draws,losses,points,table_position,group,goal_difference
8634,Barcelona,ESP,38,7.27,1,2.5,1,0.9,2,68.8,1,15.0,1,45099.0,5,86.7,1,41.4,1,6.8,1,161.0,1,96.0,1,587.3,1,20.1,20,3.8,15,10.0,2,1340.0,1,262.0,1,15.0,2,45.3,4,7.4,17,16.3,11,18.8,19,4.3,4,8.0,4,5.0,17,2.6,17,9.5,20,59.0,20,2.0,19,31,1,6,94,1,,59
8633,Real Madrid,ESP,38,7.19,2,2.0,2,0.9,1,59.4,2,14.0,2,71549.0,1,77.9,2,36.8,2,6.7,2,118.0,2,73.0,2,526.4,2,26.6,3,3.7,16,14.0,1,1333.0,2,239.0,3,13.0,5,41.2,1,6.6,20,15.6,15,16.8,20,4.5,3,5.0,1,4.0,18,2.3,20,10.0,19,68.0,19,7.0,8,27,5,6,86,2,,42
10205,Villarreal,ESP,38,6.89,5,1.9,3,1.2,6,44.5,17,8.0,12,17989.0,15,59.0,3,12.8,3,4.5,7,107.0,4,62.0,6,340.2,10,21.4,18,3.2,19,7.0,8,945.0,5,159.0,14,7.0,17,46.2,5,8.7,5,17.2,9,27.0,4,3.4,12,6.0,3,8.0,4,2.7,15,11.9,14,77.0,12,3.0,16,22,6,10,72,3,,26
9906,Atletico Madrid,ESP,38,6.9,4,1.6,4,1.2,4,53.3,5,14.0,2,60855.0,2,58.9,4,9.8,4,5.1,3,115.0,3,72.0,3,432.7,3,25.8,5,5.3,2,4.0,17,1060.0,3,246.0,2,12.0,6,49.0,9,7.8,12,17.0,10,21.4,17,4.1,5,9.0,7,6.0,11,2.6,17,11.2,16,77.0,11,5.0,14,21,6,11,69,4,,18
8603,Real Betis,ESP,38,6.94,3,1.6,5,1.3,7,50.2,10,10.0,6,57427.0,3,55.6,5,9.0,5,4.8,4,92.0,8,54.0,8,400.2,7,22.6,14,3.6,17,3.0,19,860.0,7,171.0,11,9.0,11,46.6,6,9.0,2,17.3,8,28.1,2,4.7,2,10.0,13,7.0,10,3.3,4,10.6,18,72.0,16,2.0,18,15,15,8,60,5,,11
9910,Celta Vigo,ESP,38,6.78,10,1.4,7,1.3,7,50.5,9,10.0,6,20007.0,14,49.5,10,-0.2,9,4.0,12,90.0,9,51.0,12,428.4,4,22.2,15,2.5,20,8.0,5,749.0,16,144.0,17,7.0,14,49.7,12,7.2,18,14.3,20,24.1,14,3.1,19,12.0,16,11.0,2,3.0,10,11.7,15,71.0,18,1.0,20,14,12,12,54,6,,5
8305,Getafe,ESP,38,6.77,11,0.8,19,1.0,3,40.1,20,12.0,4,8196.0,20,30.6,20,-11.7,16,2.8,20,48.0,20,23.0,20,198.4,20,25.3,6,4.2,11,4.0,18,582.0,20,163.0,12,12.0,7,42.3,3,8.9,3,18.0,4,28.0,3,3.2,16,10.0,10,4.0,20,3.1,8,15.2,1,103.0,2,8.0,3,15,6,17,51,7,,-6
8370,Rayo Vallecano,ESP,38,6.83,6,1.1,17,1.2,4,53.4,4,12.0,4,12017.0,18,53.2,7,3.8,7,4.8,5,101.0,6,68.0,4,343.2,9,26.8,2,4.3,10,5.0,15,753.0,15,216.0,5,7.0,16,49.5,11,8.3,8,18.0,3,26.1,9,3.3,13,10.0,12,8.0,5,2.9,11,13.5,7,97.0,3,9.0,2,12,14,12,50,8,,-3
10267,Valencia,ESP,38,6.76,13,1.2,11,1.4,10,47.6,13,9.0,10,44699.0,6,49.2,11,1.7,8,3.2,18,78.0,13,51.0,13,331.7,11,22.2,16,4.4,8,9.0,4,812.0,10,193.0,7,10.0,9,47.5,7,7.7,15,15.9,13,26.6,6,3.9,6,12.0,17,8.0,5,2.8,12,12.1,13,71.0,17,3.0,17,13,10,15,49,9,,-9
8560,Real Sociedad,ESP,38,6.79,8,1.6,5,1.6,19,51.3,6,3.0,20,30697.0,8,54.4,6,-3.3,11,4.6,6,101.0,5,67.0,5,372.7,8,23.1,12,3.9,14,9.0,3,820.0,9,211.0,6,9.0,12,57.7,16,7.9,11,17.8,5,24.9,11,3.8,7,17.0,20,5.0,14,2.8,12,14.2,4,88.0,5,4.0,15,11,13,14,46,10,,-2
