team_id,team_name,country_code,matches_played,FotMob rating,FotMob rating rank,Goals per match,Goals per match rank,Goals conceded per match,Goals conceded per match rank,Average possession,Average possession rank,Clean sheets,Clean sheets rank,Attendance,Attendance rank,Expected goals,Expected goals rank,xG difference,xG difference rank,Shots on target per match,Shots on target per match rank,Big chances,Big chances rank,Big chances missed,Big chances missed rank,Accurate passes per match,Accurate passes per match rank,Accurate long balls per match,Accurate long balls per match rank,Accurate crosses per match,Accurate crosses per match rank,Penalties awarded,Penalties awarded rank,Touches in opposition box,Touches in opposition box rank,Corners,Corners rank,Set piece goals,Set piece goals rank,xG conceded,xG conceded rank,Interceptions per match,Interceptions per match rank,Tackles per match,Tackles per match rank,Clearances per match,Clearances per match rank,Possession won final 3rd per match,Possession won final 3rd per match rank,Set piece goals conceded,Set piece goals conceded rank,Penalties conceded,Penalties conceded rank,Saves per match,Saves per match rank,Fouls per match,Fouls per match rank,Yellow cards,Yellow cards rank,Red cards,Red cards rank,wins,draws,losses,points,table_position,group,goal_difference
9847,Paris Saint-Germain,FRA,34,7.17,1,2.2,1,0.9,1,68.8,1,18.0,1,47577.0,3,72.1,1,40.2,1,6.7,1,125.0,2,78.0,2,659.7,1,26.9,3,4.0,10,8.0,4,1215.0,1,216.0,1,13.0,3,31.9,1,7.3,18,14.9,16,13.7,18,5.8,1,5.0,3,4.0,18,2.3,17,9.2,18,35.0,18,2.0,17,24,4,6,76,1,,45
8588,Lens,FRA,34,7.13,2,1.9,2,1.0,2,51.1,8,12.0,4,37564.0,5,67.7,2,24.0,2,5.6,3,127.0,1,88.0,1,393.8,9,22.5,9,6.6,1,5.0,13,1045.0,2,211.0,2,13.0,2,43.7,4,10.6,1,18.7,1,20.6,14,5.3,3,7.0,8,6.0,8,2.4,16,12.7,8,63.0,9,5.0,7,22,4,8,70,2,,31
8639,Lille,FRA,34,6.96,5,1.5,8,1.1,3,55.8,3,13.0,3,43092.0,4,55.3,5,18.4,3,4.6,7,88.0,7,53.0,8,423.9,4,24.8,4,4.6,3,8.0,1,1019.0,3,194.0,5,6.0,12,36.9,2,9.3,7,15.1,14,18.6,16,5.3,4,7.0,9,4.0,17,2.2,18,10.9,15,77.0,2,5.0,4,18,7,9,61,3,,15
9748,Lyon,FRA,34,6.97,4,1.6,7,1.2,4,54.6,4,15.0,2,49848.0,2,53.5,8,8.1,6,4.7,5,92.0,6,53.0,7,399.2,7,22.6,8,4.6,4,5.0,14,880.0,5,200.0,4,8.0,9,45.4,5,7.3,17,14.6,17,23.1,8,3.8,10,9.0,11,5.0,16,2.8,10,13.0,5,58.0,12,7.0,2,18,6,10,60,4,,13
8592,Marseille,FRA,34,6.98,3,1.9,3,1.3,7,56.9,2,9.0,8,62612.0,1,61.9,3,14.1,4,5.7,2,103.0,3,63.0,4,475.8,2,19.8,13,3.7,16,8.0,2,861.0,6,176.0,6,6.0,13,47.8,8,8.1,13,14.9,15,18.5,17,4.4,8,5.0,2,6.0,5,2.6,12,12.7,7,79.0,1,4.0,9,18,5,11,59,5,,18
9851,Rennes,FRA,34,6.95,6,1.7,5,1.5,11,53.5,7,10.0,5,27765.0,6,54.0,7,1.0,8,5.0,4,81.0,9,40.0,12,404.1,5,20.2,11,4.1,9,6.0,9,832.0,7,204.0,3,9.0,8,53.0,14,8.7,10,16.1,9,22.1,12,4.8,5,4.0,1,6.0,6,2.8,9,12.4,11,56.0,14,4.0,12,17,8,9,59,6,,9
9829,Monaco,FRA,34,6.9,7,1.8,4,1.6,15,53.7,6,7.0,15,8153.0,18,57.9,4,7.7,7,4.4,8,100.0,5,56.0,6,403.2,6,19.6,14,3.9,13,7.0,5,893.0,4,172.0,8,4.0,17,50.1,11,10.4,4,17.5,5,20.7,13,5.4,2,7.0,10,5.0,12,2.8,10,13.0,4,71.0,4,6.0,3,16,6,12,54,7,,6
9848,Strasbourg,FRA,34,6.87,8,1.7,6,1.4,9,53.8,5,9.0,8,27583.0,7,54.2,6,8.2,5,4.6,6,103.0,4,60.0,5,456.4,3,16.9,18,4.3,6,7.0,5,768.0,9,144.0,13,8.0,10,46.0,6,7.7,16,16.1,9,20.2,15,4.2,9,6.0,4,5.0,12,3.2,5,11.3,13,58.0,13,5.0,8,15,8,11,53,8,,11
9941,Toulouse,FRA,34,6.82,10,1.4,10,1.4,8,42.2,17,10.0,5,24941.0,9,43.7,12,0.4,9,4.2,9,64.0,14,34.0,16,298.9,16,18.9,16,3.8,14,7.0,7,832.0,7,149.0,10,10.0,6,43.3,3,9.3,7,16.0,11,23.2,7,4.6,7,10.0,14,5.0,10,2.5,13,14.1,1,77.0,2,5.0,4,12,9,13,45,9,,1
8689,Lorient,FRA,34,6.81,11,1.4,9,1.5,13,45.4,13,7.0,15,15382.0,15,45.5,9,-1.0,10,3.9,11,68.0,12,39.0,13,362.0,11,23.7,6,3.6,17,7.0,8,649.0,13,119.0,18,14.0,1,46.5,7,8.5,11,13.7,18,26.0,2,3.3,15,11.0,15,6.0,6,2.4,15,9.6,17,56.0,15,1.0,18,11,12,11,45,10,,-3
6379,Paris FC,FRA,34,6.76,12,1.4,10,1.5,11,50.4,9,8.0,12,16899.0,13,45.0,11,-10.7,12,4.0,10,81.0,10,44.0,11,397.1,8,23.9,5,3.8,15,6.0,9,725.0,10,149.0,10,11.0,4,55.7,15,7.8,15,15.7,13,26.7,1,3.6,13,12.0,18,12.0,1,2.5,13,10.6,16,66.0,6,5.0,6,11,11,12,44,11,,-3
