team_id,team_name,country_code,matches_played,FotMob rating,FotMob rating rank,Goals per match,Goals per match rank,Goals conceded per match,Goals conceded per match rank,Average possession,Average possession rank,Clean sheets,Clean sheets rank,Attendance,Attendance rank,Expected goals,Expected goals rank,xG difference,xG difference rank,Shots on target per match,Shots on target per match rank,Big chances,Big chances rank,Big chances missed,Big chances missed rank,Accurate passes per match,Accurate passes per match rank,Accurate long balls per match,Accurate long balls per match rank,Accurate crosses per match,Accurate crosses per match rank,Penalties awarded,Penalties awarded rank,Touches in opposition box,Touches in opposition box rank,Corners,Corners rank,Set piece goals,Set piece goals rank,xG conceded,xG conceded rank,Interceptions per match,Interceptions per match rank,Tackles per match,Tackles per match rank,Clearances per match,Clearances per match rank,Possession won final 3rd per match,Possession won final 3rd per match rank,Set piece goals conceded,Set piece goals conceded rank,Saves per match,Saves per match rank,Fouls per match,Fouls per match rank,Yellow cards,Yellow cards rank,wins,draws,losses,points,table_position,group,goal_difference,Penalties conceded,Penalties conceded rank,Red cards,Red cards rank
1335917,San Diego Wave FC,USA,13,6.92,6,1.5,4,1.0,4,56.5,3,3.0,11.0,12297.0,5,23.3,2,13.7,1,5.9,1,35.0,2,26.0,1,402.9,2,19.3,11,3.2,15,1.0,12.0,421.0,1,62.0,4,2.0,11,9.6,1,9.9,10,18.2,12,18.2,15,6.6,3,2.0,4,1.6,16,11.2,6,15.0,7,8,1,4,25,1,,6,,,,
433030,Washington Spirit,USA,12,6.98,5,1.7,1,0.8,2,56.9,2,5.0,3.0,15587.0,3,19.7,4,7.7,3,5.3,2,28.0,6,18.0,3,379.2,3,18.3,13,3.3,13,1.0,12.0,302.0,5,59.0,5,6.0,2,12.0,3,8.9,14,19.3,5,18.8,14,6.3,6,2.0,7,2.4,13,10.6,9,12.0,12,7,3,2,24,2,,10,1.0,10.0,,
923654,Utah Royals,USA,12,7.01,1,1.5,5,0.8,2,52.3,6,5.0,3.0,9920.0,9,19.7,5,3.6,5,4.8,7,30.0,5,15.0,5,262.6,15,25.4,1,5.6,1,3.0,2.0,248.0,10,72.0,2,4.0,6,16.1,9,10.3,9,20.7,2,24.3,6,6.4,4,2.0,6,2.7,11,11.5,4,20.0,4,7,3,2,24,3,,8,1.0,7.0,1.0,5.0
433029,Portland Thorns,USA,13,6.99,4,1.5,3,1.1,5,45.4,14,7.0,2.0,19042.0,2,19.8,3,-0.8,9,4.8,6,31.0,3,14.0,6,280.2,10,21.0,10,3.9,7,2.0,3.0,270.0,8,58.0,6,5.0,4,20.6,12,9.5,13,18.5,9,28.4,1,5.8,9,2.0,4,4.1,2,9.5,14,11.0,15,7,3,3,24,4,,6,,,2.0,4.0
1237561,Kansas City Current,USA,13,6.9,7,1.6,2,1.3,10,46.3,13,4.0,6.0,11500.0,8,27.1,1,11.3,2,4.8,5,38.0,1,23.0,2,269.6,13,17.2,14,3.8,9,2.0,7.0,335.0,3,64.0,3,1.0,15,15.8,8,11.2,6,18.8,6,26.5,3,7.0,2,6.0,16,3.0,7,8.3,16,8.0,16,8,0,5,24,5,,4,1.0,7.0,,
189397,Gotham FC,USA,11,7.01,1,1.1,12,0.5,1,58.3,1,8.0,1.0,8148.0,12,16.1,11,5.7,4,5.3,3,21.0,11,14.0,7,407.2,1,22.8,4,5.0,3,1.0,8.0,310.0,4,58.0,6,1.0,13,10.4,2,10.5,8,18.3,11,17.3,16,7.9,1,0.0,1,2.4,14,9.9,12,12.0,12,6,3,2,21,6,,7,,,,
243295,North Carolina Courage,USA,11,7.0,3,1.5,7,1.2,6,52.9,5,3.0,8.0,8448.0,11,18.4,7,3.1,6,4.2,8,21.0,10,10.0,11,350.5,4,21.5,8,4.6,4,,,301.0,6,50.0,12,2.0,9,15.3,6,8.5,16,18.8,7,22.3,10,6.0,8,1.0,3,2.0,15,10.2,11,13.0,11,5,3,3,18,7,,4,,,2.0,3.0
728922,Orlando Pride,USA,13,6.78,11,1.4,8,1.5,12,46.4,11,4.0,6.0,9029.0,10,18.6,6,2.9,7,5.2,4,24.0,7,12.0,9,279.8,11,21.1,9,3.4,11,2.0,6.0,298.0,7,57.0,8,5.0,3,15.7,7,11.9,3,20.2,3,25.0,5,4.7,12,5.0,13,2.7,10,12.0,3,18.0,5,5,2,6,17,8,,-1,2.0,5.0,1.0,6.0
1335914,Angel City FC,USA,12,6.88,8,1.5,5,1.2,8,51.0,7,3.0,10.0,15154.0,4,16.0,12,2.2,8,4.1,9,22.0,9,12.0,9,274.5,12,19.3,12,4.3,5,1.0,8.0,346.0,2,73.0,1,6.0,1,13.8,4,8.9,14,17.4,14,22.1,11,4.8,11,3.0,9,2.7,11,13.9,2,14.0,9,5,1,6,16,9,,4,1.0,10.0,1.0,7.0
1795705,Denver Summit FC,USA,12,6.84,9,1.4,9,1.3,9,50.1,9,4.0,5.0,28436.0,1,17.4,8,-1.0,10,3.6,12,31.0,4,18.0,4,318.9,6,22.9,2,3.8,8,1.0,8.0,270.0,8,54.0,10,3.0,8,18.4,11,11.8,4,15.3,16,22.5,9,4.4,14,3.0,10,3.3,6,9.8,13,14.0,9,4,3,5,15,10,,1,3.0,3.0,1.0,7.0
