team_id,team_name,country_code,matches_played,FotMob rating,FotMob rating rank,Goals per match,Goals per match rank,Goals conceded per match,Goals conceded per match rank,Average possession,Average possession rank,Clean sheets,Clean sheets rank,Attendance,Attendance rank,Expected goals,Expected goals rank,xG difference,xG difference rank,Shots on target per match,Shots on target per match rank,Big chances,Big chances rank,Big chances missed,Big chances missed rank,Accurate passes per match,Accurate passes per match rank,Accurate long balls per match,Accurate long balls per match rank,Accurate crosses per match,Accurate crosses per match rank,Penalties awarded,Penalties awarded rank,Touches in opposition box,Touches in opposition box rank,Corners,Corners rank,Set piece goals,Set piece goals rank,xG conceded,xG conceded rank,Interceptions per match,Interceptions per match rank,Tackles per match,Tackles per match rank,Clearances per match,Clearances per match rank,Possession won final 3rd per match,Possession won final 3rd per match rank,Set piece goals conceded,Set piece goals conceded rank,Penalties conceded,Penalties conceded rank,Saves per match,Saves per match rank,Fouls per match,Fouls per match rank,Yellow cards,Yellow cards rank,wins,draws,losses,points,table_position,group,goal_difference,Red cards,Red cards rank
8636,Inter,ITA,38,7.1,1,2.3,1,0.9,4,59.7,2,18.0,2,73020.0,2,72.2,1,37.6,1,6.0,1,147.0,1,91.0,1,480.2,2,22.9,7,6.8,1,6.0,9,1294.0,2,241.0,1,22.0,1,34.6,3,6.4,19,15.2,10,17.8,18,4.7,2,6.0,2,4.0,14,2.0,19,13.1,10,64.0,13,27,6,5,87,1,,54,,
9875,Napoli,ITA,38,6.96,6,1.5,5,0.9,6,58.9,3,15.0,5,48106.0,4,51.4,8,12.9,7,4.7,5,76.0,10,42.0,13,485.6,1,19.1,20,4.0,12,5.0,11,933.0,7,208.0,3,12.0,7,38.4,4,6.1,20,12.2,20,16.5,20,3.7,6,6.0,4,10.0,1,2.0,18,11.2,17,47.0,20,23,7,8,76,2,,22,2.0,18.0
8686,Roma,ITA,38,6.98,5,1.6,4,0.8,2,56.3,5,18.0,2,61796.0,3,55.0,6,15.7,5,4.7,4,83.0,6,44.0,12,409.1,8,22.8,10,4.5,7,7.0,5,1037.0,4,196.0,5,15.0,4,39.3,5,9.4,2,15.1,12,21.7,13,4.4,3,12.0,15,1.0,20,2.8,12,13.8,4,66.0,12,23,4,11,73,3,,28,3.0,10.0
10171,Como,ITA,38,7.0,3,1.7,2,0.8,1,61.6,1,19.0,1,11451.0,19,61.9,3,28.0,3,5.1,3,99.0,4,59.0,5,460.9,3,20.2,17,4.3,9,8.0,3,978.0,6,170.0,6,10.0,12,33.9,2,6.9,13,16.4,4,19.1,17,3.5,9,6.0,1,6.0,5,2.3,17,13.4,7,79.0,4,20,11,7,71,4,,36,3.0,9.0
8564,Milan,ITA,38,6.99,4,1.4,6,0.9,4,51.9,8,15.0,5,73373.0,1,60.3,4,16.0,4,4.4,7,100.0,3,65.0,4,422.4,6,22.5,12,5.1,2,9.0,1,1002.0,5,162.0,11,11.0,8,44.3,7,6.4,18,14.5,13,21.4,14,3.5,10,9.0,6,8.0,2,2.9,8,10.1,20,60.0,16,20,10,8,70,5,,18,3.0,12.0
9885,Juventus,ITA,38,7.01,2,1.6,3,0.9,3,57.5,4,16.0,4,40712.0,5,68.9,2,35.9,2,6.0,2,108.0,2,68.0,2,450.9,4,23.8,4,4.7,5,5.0,13,1308.0,1,206.0,4,16.0,3,33.0,1,6.4,17,16.1,7,16.7,19,4.9,1,6.0,3,3.0,18,1.9,20,12.1,14,50.0,19,19,12,7,69,6,,27,2.0,17.0
8524,Atalanta,ITA,38,6.93,7,1.3,7,0.9,6,55.2,6,13.0,8,22242.0,12,57.9,5,14.9,6,4.6,6,93.0,5,67.0,3,419.0,7,25.7,2,4.7,4,3.0,16,1082.0,3,215.0,2,10.0,11,43.0,6,8.4,5,15.6,9,21.3,15,4.0,5,12.0,13,4.0,17,3.1,6,11.8,16,58.0,18,15,14,9,59,7,,15,2.0,16.0
9857,Bologna,ITA,38,6.79,8,1.3,8,1.2,9,55.0,7,12.0,10,27742.0,8,44.4,11,-1.3,9,3.8,11,67.0,15,41.0,14,368.8,9,30.4,1,4.7,3,7.0,5,830.0,8,170.0,6,9.0,13,45.7,8,7.3,10,14.2,15,22.3,11,3.5,8,10.0,8,4.0,14,2.4,16,13.2,9,63.0,14,16,8,14,56,8,,3,6.0,3.0
8543,Lazio,ITA,38,6.79,8,1.1,12,1.1,8,50.3,10,15.0,5,30522.0,7,43.3,12,-4.4,11,4.1,8,72.0,12,48.0,9,426.0,5,23.0,6,3.3,19,5.0,11,729.0,13,142.0,17,4.0,20,47.7,9,7.8,9,12.7,18,19.6,16,2.7,15,10.0,9,5.0,12,3.2,5,10.6,19,76.0,6,14,12,12,54,9,,1,9.0,1.0
8600,Udinese,ITA,38,6.79,8,1.2,10,1.3,11,45.6,14,11.0,12,22681.0,10,42.2,14,-10.9,13,3.8,10,70.0,13,40.0,15,300.1,15,22.8,9,3.3,20,5.0,10,777.0,10,170.0,6,11.0,10,53.0,13,8.2,7,15.2,11,27.8,3,3.1,13,10.0,11,7.0,4,2.6,15,13.6,5,71.0,10,14,8,16,50,10,,-3,2.0,14.0
