"stat","pearson_r","pearson_r2","pearson_p","spearman_rho","spearman_p","league"
"FotMob.rating",0.950553799263071,0.903552525293459,1.53782250516246e-09,0.830745341614907,1.96195473687948e-05,"bundesliga"
"Goals.per.match",0.918251230552284,0.843185322410783,7.74179425426901e-08,0.896320723531834,4.82756753685241e-07,"bundesliga"
"Goals.conceded.per.match",-0.89850159954349,0.80730512438221,4.101492374979e-07,-0.831351474653423,1.91030963792589e-05,"bundesliga"
"Average.possession",0.838230602744183,0.702630543376876,1.4008098393725e-05,0.71768394114578,0.000798119133571689,"bundesliga"
"Clean.sheets",0.758385462368939,0.575148509532549,0.000264653018595693,0.760005024843222,0.000252193706421593,"bundesliga"
"Attendance",0.609253502436243,0.371189830230829,0.00727613795981505,0.545737090003507,0.0191420078659261,"bundesliga"
"Expected.goals",0.875500777832961,0.76650161198612,1.94993490201567e-06,0.764858800383703,0.000217772616447782,"bundesliga"
"xG.difference",0.927702021916585,0.86063104146812,2.98666219332683e-08,0.85994935394492,4.75069514706875e-06,"bundesliga"
"Shots.on.target.per.match",0.865299564203126,0.748743335810121,3.5406758098885e-06,0.827018454921674,2.3064799300696e-05,"bundesliga"
"Big.chances",0.819050495586832,0.670843714321035,3.21965811515159e-05,0.699482240856092,0.0012338859174799,"bundesliga"
"Big.chances.missed",0.638269143537461,0.407387499592044,0.00436499952382654,0.481903049818348,0.0428541575562094,"bundesliga"
"Accurate.passes.per.match",0.785482172960783,0.616982244039193,0.00011213480076513,0.641861236538216,0.0040830304515452,"bundesliga"
"Accurate.long.balls.per.match",0.15071245892337,0.0227142452747285,0.550547236014584,-0.0175983436853002,0.944744359418834,"bundesliga"
"Accurate.crosses.per.match",0.13849263329977,0.0191802094783045,0.583661377397741,0.291214837890484,0.241016482585018,"bundesliga"
"Penalties.awarded",0.67248983358572,0.45224257627615,0.00223029736676737,0.617449268121791,0.00632925519613471,"bundesliga"
"Touches.in.opposition.box",0.89467749324919,0.800447816926654,5.44556456624817e-07,0.845479052316039,9.94431935069476e-06,"bundesliga"
"Corners",0.764171092473424,0.583957458572027,0.000222393744667775,0.70165497704238,0.00117328337922627,"bundesliga"
"Set.piece.goals",0.639800913270268,0.409345208621468,0.00424287793030406,0.486213072840511,0.0407644925160456,"bundesliga"
"xG.conceded",-0.80857988239027,0.653801426206264,4.87467268756484e-05,-0.812823599049832,4.13299939831287e-05,"bundesliga"
"Interceptions.per.match",-0.510760393466108,0.260876179533653,0.030308332204398,-0.532884587250916,0.0227860040684521,"bundesliga"
"Tackles.per.match",-0.700740933086865,0.49103785530345,0.00119846936873875,-0.576823667462116,0.0122064900257614,"bundesliga"
"Clearances.per.match",-0.786601107007038,0.618741301544698,0.000107950872371131,-0.725582267391026,0.000653888381298584,"bundesliga"
"Possession.won.final.3rd.per.match",0.756834882274317,0.57279903902718,0.000277063628346484,0.632781444840236,0.00482628812429468,"bundesliga"
"Set.piece.goals.conceded",-0.329322228963161,0.108453130489265,0.182047547470699,-0.306095596177967,0.216703821729853,"bundesliga"
"Penalties.conceded",-0.289821964723296,0.0839967712360714,0.243377328211858,-0.313633371287367,0.205019826826164,"bundesliga"
"Saves.per.match",-0.696325246278083,0.484868848604233,0.00132655875654181,-0.651813821479232,0.00337856319968324,"bundesliga"
"Fouls.per.match",-0.0622602200101391,0.00387633499571092,0.806129911338062,-0.0998448141885097,0.69344668185077,"bundesliga"
"Yellow.cards",-0.0225448608827642,0.000508270752223192,0.929245956146393,0.0429829161728144,0.865524098200726,"bundesliga"
"Red.cards",-0.238443339797986,0.0568552262940177,0.356719235367517,-0.176949214671036,0.496884086146819,"bundesliga"
"goal_difference",0.969429295976211,0.939793159896932,3.48510114059736e-11,0.946114497632018,3.01641003571816e-09,"bundesliga"
