"stat","pearson_r","pearson_r2","pearson_p","spearman_rho","spearman_p","league"
"FotMob.rating",0.937428758052788,0.878772676424392,1.11119592169566e-09,0.736306564821909,0.00021423664964253,"la_liga"
"Goals.per.match",0.899583238415867,0.809250002838778,6.81435061193883e-08,0.668001553929304,0.0012869468700112,"la_liga"
"Goals.conceded.per.match",-0.831620321412942,0.691592358986964,5.5110575526386e-06,-0.775051666690485,5.98550897869706e-05,"la_liga"
"Average.possession",0.631209395598613,0.398425301091967,0.00283938278124517,0.358357402766047,0.12078597810234,"la_liga"
"Clean.sheets",0.667499763887665,0.445555934790089,0.00130183475209568,0.627722452275779,0.00304498493264637,"la_liga"
"Attendance",0.570025724637799,0.324929326748848,0.00868918060462369,0.411167967384202,0.0716991284117347,"la_liga"
"Expected.goals",0.875019177221408,0.76565856050523,4.45109437228165e-07,0.721241425356508,0.000332310903354393,"la_liga"
"xG.difference",0.911108072251477,0.830117919321803,2.37512638890482e-08,0.816537392216787,1.1249221468719e-05,"la_liga"
"Shots.on.target.per.match",0.833583780338585,0.694861918843567,4.99674487951585e-06,0.599470670747903,0.0052128643954636,"la_liga"
"Big.chances",0.824208399346003,0.679319485552501,7.89103202337573e-06,0.642750894697211,0.00223937729158185,"la_liga"
"Big.chances.missed",0.709355898478458,0.50318579070618,0.00046100052450872,0.603024962548476,0.00488504602302933,"la_liga"
"Accurate.passes.per.match",0.721684264345561,0.520828177403993,0.000328180034734021,0.55752867504023,0.010647064260825,"la_liga"
"Accurate.long.balls.per.match",-0.233618367475188,0.054577541621772,0.321535398704606,-0.248205958485374,0.291350708716497,"la_liga"
"Accurate.crosses.per.match",-0.310499201785264,0.0964097543092861,0.182729019447214,-0.366177193920612,0.112314219746763,"la_liga"
"Penalties.awarded",0.493220609312393,0.243266569450488,0.0271186825627159,0.165274749137238,0.486208882307769,"la_liga"
"Touches.in.opposition.box",0.850072454232854,0.722623177445467,2.08183728626355e-06,0.45660585424288,0.0429939992806407,"la_liga"
"Corners",0.653041111661189,0.426462693519682,0.00179754222161442,0.572293428849121,0.00836761112982445,"la_liga"
"Set.piece.goals",0.289851669035243,0.0840139900425161,0.21511799377289,0.153642279647943,0.51781046859382,"la_liga"
"xG.conceded",-0.609402595455669,0.371371523348106,0.00433947566285803,-0.696345016322235,0.0006481947607233,"la_liga"
"Interceptions.per.match",-0.30470560535512,0.0928455059348304,0.19146176573429,-0.0495648919321359,0.835607523215871,"la_liga"
"Tackles.per.match",-0.0629214204270353,0.00395910514855574,0.792138108044002,0.0622878731926814,0.794187771148511,"la_liga"
"Clearances.per.match",-0.610526770434179,0.372742937416788,0.00424874627839683,-0.292076802631396,0.211457304112317,"la_liga"
"Possession.won.final.3rd.per.match",0.422767065066488,0.178731991304932,0.0632951550560934,0.485422223362825,0.0300342277431601,"la_liga"
"Set.piece.goals.conceded",-0.525628166255303,0.276284969160913,0.0173027213240585,-0.395356567286669,0.084464843991782,"la_liga"
"Penalties.conceded",-0.232507772232713,0.0540598641486191,0.323907115370705,-0.148974938397875,0.530756753099666,"la_liga"
"Saves.per.match",-0.605898018943561,0.367112409359732,0.00463266143107017,-0.551804603658479,0.011656094513126,"la_liga"
"Fouls.per.match",-0.643992619102593,0.414726493458617,0.00218167514785365,-0.412232469857019,0.070894816875695,"la_liga"
"Yellow.cards",-0.475953451286988,0.226531687791995,0.0338986579556887,-0.368242202835245,0.11015035199964,"la_liga"
"Red.cards",-0.43090862151347,0.185682240094639,0.0578561217858773,-0.459215094717948,0.0416681828712889,"la_liga"
"goal_difference",0.98482097304435,0.96987234894802,3.84532436640208e-15,0.873491668292979,4.93660963827774e-07,"la_liga"
