"stat","pearson_r","pearson_r2","pearson_p","spearman_rho","spearman_p","league"
"FotMob.rating",0.849639659883771,0.72188755164741,3.10083616979255e-05,0.844748425252145,3.82700919327822e-05,"nwsl"
"Goals.per.match",0.679173051711944,0.461276034171715,0.00381051491630359,0.777059434601871,0.000397627058611411,"nwsl"
"Goals.conceded.per.match",-0.801373901543629,0.642200130075258,0.000189959569101876,-0.818660363832424,0.000105481409347545,"nwsl"
"Average.possession",0.455226556197496,0.207231217467432,0.0764218368808802,0.384854603588928,0.141036219550643,"nwsl"
"Clean.sheets",0.627151339090351,0.39331880212282,0.0163682111884668,0.657599941026216,0.0105889031860247,"nwsl"
"Attendance",0.303611320495779,0.0921798339331905,0.252965325812286,0.465893831624649,0.0689377873571527,"nwsl"
"Expected.goals",0.780923409242369,0.609841371102725,0.000355756711840167,0.852292710501706,2.75787842343577e-05,"nwsl"
"xG.difference",0.811888131273961,0.659162337703525,0.000133753899606387,0.900629158586502,1.96582357802322e-06,"nwsl"
"Shots.on.target.per.match",0.843843793738422,0.712072348230853,3.97578164381389e-05,0.870054461546265,1.18175955714997e-05,"nwsl"
"Big.chances",0.824264838235054,0.679412523550659,8.6023279097188e-05,0.809086222602978,0.000147163129084595,"nwsl"
"Big.chances.missed",0.775609084726116,0.601569452309683,0.000414356806660131,0.823271941890639,8.92331948982735e-05,"nwsl"
"Accurate.passes.per.match",0.431637165193216,0.186310642376036,0.0950288848311382,0.267072897109671,0.317333448135396,"nwsl"
"Accurate.long.balls.per.match",0.000797147869295751,6.35444725522756e-07,0.997662273428517,-0.121192304331488,0.654802783072383,"nwsl"
"Accurate.crosses.per.match",0.267203917924533,0.0713979337542206,0.317087030508324,0.102087458485253,0.706760232495329,"nwsl"
"Penalties.awarded",-0.132146458776481,0.0174626865671642,0.666942335878226,-0.154420012648585,0.614466589521073,"nwsl"
"Touches.in.opposition.box",0.659934281211898,0.435513255518664,0.00540520920698716,0.778793600449729,0.000378359230474918,"nwsl"
"Corners",0.632263254786855,0.399756823353667,0.00858987827087792,0.745934405411745,0.000906944011770603,"nwsl"
"Set.piece.goals",0.242497054462301,0.0588048214228922,0.36550896415009,0.240603952113276,0.369379539284805,"nwsl"
"xG.conceded",-0.649034303510459,0.421245527133307,0.00652144665739095,-0.632072523159555,0.00861607004869531,"nwsl"
"Interceptions.per.match",-0.358299250558934,0.128378352951094,0.172977186656813,-0.381882753368164,0.144394098479118,"nwsl"
"Tackles.per.match",0.0849540516337563,0.00721719088899094,0.754419772211718,0.170138425138735,0.528715212165696,"nwsl"
"Clearances.per.match",-0.101564847916052,0.0103154183322108,0.708199940438593,-0.0987412286556854,0.71599448029708,"nwsl"
"Possession.won.final.3rd.per.match",0.73331887704325,0.537756575427974,0.00122706990405553,0.721416641090443,0.00160842019864857,"nwsl"
"Set.piece.goals.conceded",-0.229178525068523,0.0525227963525836,0.393215169677473,-0.264616368945723,0.321974186464758,"nwsl"
"Saves.per.match",-0.493178918303646,0.243225445459155,0.0522386707110643,-0.571540734731309,0.0207290966140636,"nwsl"
"Fouls.per.match",-0.331200064992675,0.109693483051152,0.210179237716383,-0.212330762372376,0.429823646497928,"nwsl"
"Yellow.cards",-0.4462041349176,0.199098130017563,0.0831965493809033,-0.436244643121398,0.0911644650573505,"nwsl"
"goal_difference",0.86046438392474,0.740398956002983,1.89426147786989e-05,0.888235405214759,4.32622208592911e-06,"nwsl"
"Penalties.conceded",-0.524691191439038,0.275300846373717,0.0974998853182514,-0.536920436992753,0.0885585659786609,"nwsl"
"Red.cards",-0.382816284709298,0.14654830783863,0.349262745282767,-0.268946436835298,0.519514618138478,"nwsl"
