"stat","pearson_r","pearson_r2","pearson_p","spearman_rho","spearman_p","league"
"FotMob.rating",0.898462576885834,0.807235002064333,7.49850876286665e-08,0.770448603544397,7.05236165295776e-05,"premier_league"
"Goals.per.match",0.90723049945587,0.823067179142948,3.43773358120502e-08,0.820466082162729,9.40056620773878e-06,"premier_league"
"Goals.conceded.per.match",-0.890974012061901,0.79383469016968,1.38313940557137e-07,-0.697186059760452,0.000634404453068589,"premier_league"
"Average.possession",0.737480141926673,0.543876959736186,0.000206783967647831,0.733910893105319,0.000230165538054477,"premier_league"
"Clean.sheets",0.817421462002755,0.668177846542722,1.08078015869921e-05,0.611320442513123,0.00418564046145375,"premier_league"
"Attendance",0.415762624613043,0.172858560025126,0.0682758243635191,0.266466108881316,0.25611355204933,"premier_league"
"Expected.goals",0.769955362000515,0.592831259473344,7.17583219310561e-05,0.725630872772849,0.00029325825738961,"premier_league"
"xG.difference",0.864885877934347,0.748027581850267,8.6384532376837e-07,0.725150807999764,0.000297328961006945,"premier_league"
"Shots.on.target.per.match",0.824266614592538,0.679415451931844,7.86932276215351e-06,0.760506019128248,9.92791740760376e-05,"premier_league"
"Big.chances",0.777574273526666,0.604621750850522,5.46218185630084e-05,0.666290066093544,0.00133832258694851,"premier_league"
"Big.chances.missed",0.788306809510388,0.621427625920448,3.65169111161691e-05,0.699058429999784,0.000604594304192694,"premier_league"
"Accurate.passes.per.match",0.642186036434109,0.412402905390951,0.00226604462297062,0.631539732631141,0.00282051950513733,"premier_league"
"Accurate.long.balls.per.match",-0.299257667210746,0.0895551513844178,0.199925405887871,-0.319729352504966,0.169380777958375,"premier_league"
"Accurate.crosses.per.match",0.0339290910007977,0.00115118321614041,0.887075615380661,-0.171137734798935,0.470651313224789,"premier_league"
"Penalties.awarded",0.0759987151205936,0.00577580469998114,0.764390188347574,0.080590946748374,0.750569036720067,"premier_league"
"Touches.in.opposition.box",0.825443599996742,0.681357136775582,7.44140365527421e-06,0.782838285979007,4.495741111183e-05,"premier_league"
"Corners",0.616400478226209,0.3799495495575,0.00379981946918448,0.486812358703843,0.0294972654368585,"premier_league"
"Set.piece.goals",0.61536222318579,0.378670665724158,0.00387617742244381,0.419921785562481,0.0652841515171407,"premier_league"
"xG.conceded",-0.829885038501562,0.688709177128739,6.00334026121135e-06,-0.692278768501941,0.000718506491311178,"premier_league"
"Interceptions.per.match",-0.417992735349942,0.174717926805326,0.0666591835155749,-0.376461953615268,0.101834863480458,"premier_league"
"Tackles.per.match",-0.468722378690259,0.219700668285055,0.0371028326969028,-0.52409653413067,0.0176909671104242,"premier_league"
"Clearances.per.match",-0.551662635829094,0.304331663769903,0.011682070031652,-0.484745797095755,0.0302982665596418,"premier_league"
"Possession.won.final.3rd.per.match",0.550967609179066,0.303565306364496,0.0118099144258784,0.461132600792155,0.0407141663301378,"premier_league"
"Set.piece.goals.conceded",-0.127187124406057,0.0161765646146819,0.593098103490739,-0.0681827769110301,0.775168337995785,"premier_league"
"Saves.per.match",-0.695599237833533,0.483858299674593,0.000660634694746041,-0.44806325506591,0.0475634368235923,"premier_league"
"Fouls.per.match",-0.536289566369246,0.287606498996514,0.0147852564783793,-0.549057229257435,0.0121671548632027,"premier_league"
"Yellow.cards",-0.31941707437514,0.102027267402374,0.169821138373646,-0.304969965981209,0.191057296233427,"premier_league"
"goal_difference",0.971862231616147,0.944516197241918,9.48197831152852e-13,0.913371062903813,1.89917459064884e-08,"premier_league"
"Penalties.conceded",-0.529271486306284,0.280128306216863,0.0197910993879364,-0.495806533911022,0.0308627930098335,"premier_league"
"Red.cards",-0.151709754497108,0.0230158496095729,0.561071103136382,-0.292336289788733,0.254862349359833,"premier_league"
