"stat","pearson_r","pearson_r2","pearson_p","spearman_rho","spearman_p","league"
"FotMob.rating",0.963033693817569,0.927433895427912,1.07041792560287e-11,0.943084976814032,4.8364760400361e-10,"serie_a"
"Goals.per.match",0.91026307376639,0.828578863462636,2.57806813827247e-08,0.922563424894488,7.16132391112336e-09,"serie_a"
"Goals.conceded.per.match",-0.897860969144574,0.806154319913234,7.8901104032153e-08,-0.892352546355049,1.2398993813071e-07,"serie_a"
"Average.possession",0.895074600143924,0.801158539822805,9.94788700268218e-08,0.859616169275286,1.19466100897599e-06,"serie_a"
"Clean.sheets",0.898985270406899,0.808174516408566,7.17224566726304e-08,0.873542225534402,4.9198273656084e-07,"serie_a"
"Attendance",0.717818987943017,0.515264099451537,0.00036575726828555,0.5814216281801,0.00716981892741812,"serie_a"
"Expected.goals",0.804461539811132,0.647158369035297,1.90457795166765e-05,0.774727395893277,6.05581508791889e-05,"serie_a"
"xG.difference",0.847805365589804,0.718773937922862,2.36225442993212e-06,0.829635259874062,6.07725783562825e-06,"serie_a"
"Shots.on.target.per.match",0.826071056144666,0.682393389799963,7.22165718526254e-06,0.865763905065279,8.17348186049546e-07,"serie_a"
"Big.chances",0.783704699594431,0.614193056166398,4.35174432647151e-05,0.750470508552942,0.000137992769179431,"serie_a"
"Big.chances.missed",0.616637965411898,0.380242380387325,0.00378252991865117,0.524078254326561,0.0176956424774635,"serie_a"
"Accurate.passes.per.match",0.912035461320859,0.831808682706751,2.16870159691473e-08,0.86719337848006,7.46323145187747e-07,"serie_a"
"Accurate.long.balls.per.match",0.0693024418251232,0.00480282844292458,0.771569368864004,0.0640543304748424,0.788476176740068,"serie_a"
"Accurate.crosses.per.match",0.535138026338367,0.286372707233322,0.0150420579982992,0.424257535662647,0.0622716671370981,"serie_a"
"Penalties.awarded",0.306408783637202,0.0938863426900297,0.188865990169849,0.304463010855925,0.19183343922607,"serie_a"
"Touches.in.opposition.box",0.821403365314739,0.674703488550379,9.00072626434234e-06,0.8228657971915,8.40636183485704e-06,"serie_a"
"Corners",0.777907896980108,0.605140696184015,5.39601700070438e-05,0.75584109960314,0.000115920254706242,"serie_a"
"Set.piece.goals",0.591760053771424,0.350179961239559,0.00598660993827216,0.490546467178066,0.0280921624755716,"serie_a"
"xG.conceded",-0.850364371628095,0.723119564534445,2.04793241590041e-06,-0.840917697678333,3.42624426457045e-06,"serie_a"
"Interceptions.per.match",-0.507541495072693,0.257598369220625,0.0223485301097193,-0.412832069869183,0.0704447588029151,"serie_a"
"Tackles.per.match",-0.360616730240876,0.130044426129621,0.118292805064157,-0.366378336316243,0.112102112875404,"serie_a"
"Clearances.per.match",-0.826726934148469,0.683477423646528,6.99800908676556e-06,-0.825122284752354,7.55616763415199e-06,"serie_a"
"Possession.won.final.3rd.per.match",0.613297926496314,0.376134346644678,0.00403177376319566,0.57880992782021,0.00749718733691523,"serie_a"
"Set.piece.goals.conceded",-0.6822769229867,0.465501799640199,0.000919426119141425,-0.642262145531733,0.00226243607704527,"serie_a"
"Penalties.conceded",-0.0691652799967845,0.00478383595703359,0.77201001202217,-0.148640982028668,0.531688798705779,"serie_a"
"Saves.per.match",-0.544788398953173,0.296794399633962,0.0129970449734676,-0.493961226244593,0.0268538282118048,"serie_a"
"Fouls.per.match",-0.379102136125978,0.14371842961528,0.0992634666737467,-0.303349663938651,0.19354538823348,"serie_a"
"Yellow.cards",-0.549482477885109,0.301930993502759,0.0120868872686062,-0.492851768246802,0.0272513503041093,"serie_a"
"goal_difference",0.974791558419076,0.95021858236509,3.56317832903564e-13,0.959007213363037,2.67464720888168e-11,"serie_a"
"Red.cards",-0.278499582368176,0.0775620173792483,0.248270239650202,-0.263274690968259,0.276137918037688,"serie_a"
